hotel_id,url
1,https://images.trvl-media.com/hotels/1000000/860000/855400/855311/dedb6a1d_z.jpg
2,https://www.hotelcasamunras.com/resourcefiles/homeimages/casa-munras-garden-hotel-spa-monterey-california-home3.jpg
3,https://media.iceportal.com/33938/photos/64497079_XXL.jpg
4,https://s-ec.bstatic.com/images/hotel/max1280x900/108/108188022.jpg
5,https://s-ec.bstatic.com/images/hotel/max1024x768/151/151290771.jpg
6,https://s-ec.bstatic.com/images/hotel/max1024x768/156/156635176.jpg
7,"https://img1.wsimg.com/isteam/ip/3eb60124-2fad-440b-b95e-69522d32e199/0f6cab1d-638b-461e-8d2c-59d12c8a33b8.JPG/:/rs=w:600,h:750,cg:true,m/cr=w:1200,h:750,a:cc"
8,https://www.travlu.com/111/hotelimages/hotelglenpoolok/Hotel-Glenpool-Exterior-2.jpg
9,https://whiteriverinn.com/wp-content/uploads/2018/11/cleanest_quietest_rooms-1.jpg
10,"https://webbox.imgix.net/images/zylmgvnxxoqkmlqw/3d25b535-7586-4c1a-8170-023236724821.jpg?auto=format,compress&fit=crop&crop=entropy&w=750&h=600"
11,"https://assets.simpleviewcms.com/simpleview/image/fetch/c_fill,h_475,q_75,w_790/https://lasvegas.simpleviewcrm.com/images/listings/original_GoldenNugget_Exterior_Header_2_1510%20x%20610.jpg"
12,https://lh5.googleusercontent.com/p/AF1QipMuC0M6xWQRlPFHw_Hc0t8Caysl93wwJ3V2cZZ1=w325-h325-k-no
13,https://lh5.googleusercontent.com/p/AF1QipM9wZwDcQkwLwcPjQxEFky8wnUVbR6Ev9w4mFPI=w592-h404-n-k-no-v1
14,https://lh5.googleusercontent.com/p/AF1QipMBpaGmRq0xhgFE3bp2akok5T1dWmVwCzFIWtTv=w592-h404-n-k-no-v1
15,https://q-ak.bstatic.com/images/hotel/max1280x900/978/97854643.jpg
16,https://lh5.googleusercontent.com/p/AF1QipMpH_AhAxlcvLw90hAVVl6lgxMsnvndR6iZ0Lg6=w592-h404-n-k-no-v1
17,https://lh5.googleusercontent.com/p/AF1QipMmvIdNkC-uc0LYFMh6QkLxdShBGD9_-W-NAuIp=w592-h404-n-k-no-v1
18,https://lh5.googleusercontent.com/p/AF1QipOBB7yEwu12tbPlYMPENmvvxog3Sy0zo5z5Sqrq=w592-h404-n-k-no-v1
19,http://2.bp.blogspot.com/-nk6nbSglj7o/U6WFRm5Ue6I/AAAAAAAAQzI/E63xog-WoXY/s1600/2014_AZ-7809_GCL-patio-pano-1.jpg
20,https://www.desertpearl.com/uploads/widgets/2017080512155959860b5fd7b62.jpeg?v10
21,"https://assets.simpleviewcms.com/simpleview/image/fetch/c_fill,h_610,q_905,w_1510/https://lasvegas.simpleviewcrm.com/images/listings/original_Bellagio_Exterior_Header_2_1510x6100.jpg"
22,https://s-ec.bstatic.com/images/hotel/max1024x768/118/118045550.jpg
23,http://www.destination360.com/north-america/us/nevada/las-vegas/images/s/flamingo-las-vegas.jpg
24,https://s-ec.bstatic.com/images/hotel/max1024x768/130/130819460.jpg
25,https://pix10.agoda.net/hotelImages/186/186483/186483_16042905470041910658.jpg?s=1024x768
26,https://t-ec.bstatic.com/images/hotel/max1024x768/573/57335203.jpg
27,https://img.grouponcdn.com/deal/82YaCNBLY6ShDxEUMgAV/iK-1000x600/v1/c620x376.jpg
28,https://www.reviewjournal.com/wp-content/uploads/2018/01/10004829_web1_hardrocklv.jpg
29,"https://assets.simpleviewcms.com/simpleview/image/fetch/c_fill,h_475,q_75,w_790/https://lasvegas.simpleviewcrm.com/images/listings/original_Luxor_Exterior_Header_2_1510%20x%20610.jpg"
30,https://www.asgam.com/wp-content/uploads/2019/01/1200px-Illustration_of_Resorts_World_Las_Vegas.jpg
31,https://s-ec.bstatic.com/images/hotel/max1024x768/373/37337776.jpg
32,https://i1.wp.com/thepointsguy.com/wp-content/uploads/2014/07/Cromwell-feature-image-2.jpg?fit=900%2C690px&ssl=1
33,https://media.lasvegasweekly.com/img/photos/2017/11/15/1116_Intersection_Palms_t1000.jpg?c76bf34eada957f64a0b14990027a576ff9bf379
34,https://upload.wikimedia.org/wikipedia/commons/5/59/Hooters_Casino_HotelLV.jpg
35,http://www.destination360.com/north-america/us/nevada/las-vegas/images/s/tropicana-las-vegas.jpg
36,https://images.oyster.com/photos/the-hotel--v11983363-w902.jpg
37,https://t-ec.bstatic.com/images/hotel/max1024x768/137/137958674.jpg
38,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Trump_International_Hotel_Las_Vegas.jpg/1200px-Trump_International_Hotel_Las_Vegas.jpg
39,http://www.fourqueens.com/img/default/slider/slide1.jpg
40,https://images.trvl-media.com/hotels/1000000/50000/41300/41277/19644a65_z.jpg
41,http://www.destination360.com/north-america/us/nevada/las-vegas/images/s/plaza-hotel-las-vegas.jpg
42,https://elcortezhotelcasino.com/wp-content/uploads/2018/08/Hero-Default-1800x1000-min.jpg
43,https://t-ec.bstatic.com/images/hotel/max1024x768/150/15045590.jpg
